id,name,canonical,aliases,category,default_unit,store_unit,avg_weight_g,piece_weight_g,shelf_life_days,image_url
1,tomato,tomato,tamatar;tomatoes;tmto;vande;hybrid tomato;desi tomato,vegetables,kg,kg,80,80,7,https://in.images.search.yahoo.com/search/images;_ylt=AwrKBZ2cEUhpFgIAcUK7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3BpdnM-?p=tomato&fr2=piv-web&type=E210IN1589G91896&fr=mcafee#id=6&iurl=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2F8%2F89%2FTomato_je.jpg&action=click
2,onion,onion,pyaaz;onions;kanda;white onion;red onion,vegetables,kg,kg,100,100,14,https://cdn-icons-png.flaticon.com/512/765/765544.png
3,potato,potato,aloo;potatoes;batata;baby potato,vegetables,kg,kg,150,150,21,https://cdn-icons-png.flaticon.com/512/765/765532.png
4,moong dal,moong dal,green gram;moong;mung bean;moong dhuli;yellow dal,pulses_dals,kg,kg,0,0,180,https://cdn-icons-png.flaticon.com/512/3514/3514332.png
5,rice,rice,chawal;basmati;sona masoori;kolam rice;brown rice;indrayani,grains_cereals,kg,kg,0,0,365,https://cdn-icons-png.flaticon.com/512/3014/3014529.png
6,turmeric,turmeric,haldi;turmeric powder;haldi powder,spices_condiments,g,g,0,0,365,https://cdn-icons-png.flaticon.com/512/736/736923.png
7,ginger,ginger,adrak;ginger root,vegetables,kg,kg,30,30,14,https://cdn-icons-png.flaticon.com/512/1694/1694368.png
8,garlic,garlic,lehsun;lasan,vegetables,kg,kg,40,40,30,https://cdn-icons-png.flaticon.com/512/6003/6003734.png
9,green chili,green chili,hari mirch;chilli;green chillies,vegetables,kg,kg,3,3,10,https://cdn-icons-png.flaticon.com/512/5029/5029236.png
10,coriander seeds,coriander seeds,dhaniya;sabut dhaniya;whole coriander,spices_condiments,g,g,0,0,365,https://cdn-icons-png.flaticon.com/512/5029/5029236.png
11,cumin seeds,cumin seeds,jeera;zeera;cumin,spices_condiments,g,g,0,0,365,https://cdn-icons-png.flaticon.com/512/5029/5029236.png
12,mustard seeds,mustard seeds,sarson;rai;black mustard,spices_condiments,g,g,0,0,365,https://cdn-icons-png.flaticon.com/512/5029/5029236.png
13,red chili powder,red chili powder,lal mirch;chilly powder;mirchi;kashmiri chilli;degi mirch,spices_condiments,g,g,0,0,365,https://cdn-icons-png.flaticon.com/512/5029/5029236.png
14,toor dal,toor dal,arhar dal;pigeon pea;tuvar dal;arhar,pulses_dals,kg,kg,0,0,180,https://cdn-icons-png.flaticon.com/512/3514/3514332.png
15,urad dal,urad dal,black gram;white lentil;urad dhuli;urad chilka,pulses_dals,kg,kg,0,0,180,https://cdn-icons-png.flaticon.com/512/3514/3514332.png
16,chana dal,chana dal,split bengal gram,pulses_dals,kg,kg,0,0,180,https://cdn-icons-png.flaticon.com/512/3514/3514332.png
17,masoor dal,masoor dal,red lentil;masur;masoor dhuli;malka,pulses_dals,kg,kg,0,0,180,https://cdn-icons-png.flaticon.com/512/3514/3514332.png
18,rajma,rajma,kidney beans;rajma chitra;rajma jammu,pulses_dals,kg,kg,0,0,365,https://cdn-icons-png.flaticon.com/512/3514/3514332.png
19,kabuli chana,kabuli chana,chickpeas;white chana;chole,pulses_dals,kg,kg,0,0,365,https://cdn-icons-png.flaticon.com/512/3514/3514332.png
20,wheat flour,wheat flour,atta;whole wheat flour;chakki atta;aashirvaad atta,grains_cereals,kg,kg,0,0,90,https://cdn-icons-png.flaticon.com/512/3014/3014529.png
21,semolina,semolina,suji;rava;sooji,grains_cereals,kg,kg,0,0,90,https://cdn-icons-png.flaticon.com/512/3014/3014529.png
22,gram flour,gram flour,besan;chana dal flour,pulses_dals,kg,kg,0,0,180,https://cdn-icons-png.flaticon.com/512/3514/3514332.png
23,cauliflower,cauliflower,phool gobhi;gobi;cauli,vegetables,pieces,pieces,600,600,4,https://cdn-icons-png.flaticon.com/512/1147/1147609.png
24,cabbage,cabbage,patta gobhi;band gobhi,vegetables,pieces,pieces,700,700,5,https://cdn-icons-png.flaticon.com/512/765/765529.png
25,spinach,spinach,palak,vegetables,bunch,bunch,250,250,3,https://cdn-icons-png.flaticon.com/512/1135/1135560.png
26,fenugreek leaves,fenugreek leaves,methi,vegetables,bunch,bunch,250,250,3,https://cdn-icons-png.flaticon.com/512/1135/1135560.png
27,coriander leaves,coriander leaves,dhaniya patta;kothimbir;cilantro,vegetables,bunch,bunch,100,100,3,https://cdn-icons-png.flaticon.com/512/1135/1135560.png
28,mint leaves,mint leaves,pudina,vegetables,bunch,bunch,50,50,3,https://cdn-icons-png.flaticon.com/512/1135/1135560.png
29,curry leaves,curry leaves,kadi patta;curry leaf,vegetables,bunch,bunch,20,20,10,https://cdn-icons-png.flaticon.com/512/1135/1135560.png
30,milk,milk,doodh;full cream milk;toned milk;cow milk;buffalo milk;amul milk;gold milk,dairy,l,l,1000,1000,2,https://cdn-icons-png.flaticon.com/512/931/931945.png
31,curd,curd,dahi;yogurt;yoghurt;set curd,dairy,kg,kg,500,500,5,https://cdn-icons-png.flaticon.com/512/931/931945.png
32,paneer,paneer,cottage cheese;pnr;malai paneer,dairy,kg,kg,200,200,4,https://cdn-icons-png.flaticon.com/512/931/931945.png
33,butter,butter,makkhan;amul butter;salted butter;white butter,dairy,g,g,500,500,30,https://cdn-icons-png.flaticon.com/512/824/824239.png
34,ghee,ghee,clarified butter;desi ghee;cow ghee,oils_fats,kg,kg,1000,1000,180,https://cdn-icons-png.flaticon.com/512/824/824239.png
35,cheese,cheese,processed cheese;slices;cubes;mozarella;cheddar,dairy,g,g,200,200,30,https://cdn-icons-png.flaticon.com/512/2313/2313539.png
36,bread,bread,sandwich bread;whole wheat bread;brown bread;white bread;milk bread,others,pack,pack,400,400,4,https://cdn-icons-png.flaticon.com/512/189/189156.png
37,eggs,eggs,anda;egg;white eggs;brown eggs,dairy,pieces,pieces,50,50,14,https://cdn-icons-png.flaticon.com/512/837/837560.png
38,sugar,sugar,chini;shakar;white sugar;sulphurless sugar,others,kg,kg,0,0,365,https://cdn-icons-png.flaticon.com/512/2405/2405466.png
39,salt,salt,namak;iodized salt;table salt;tata salt,spices_condiments,kg,kg,0,0,365,https://cdn-icons-png.flaticon.com/512/3437/3437656.png
40,tea,tea,chai;tea leaves;chai patti;tea powder;red label;taj mahal,others,kg,kg,0,0,365,https://cdn-icons-png.flaticon.com/512/604/604610.png
